current_path,current_filename,normalized,suggested_path,size,suspicious
"icons/25424.svg","25424.svg","25424","icons/25424.svg","10696","no"
"icons/25429.svg","25429.svg","25429","icons/25429.svg","30852","no"
"icons/25430.svg","25430.svg","25430","icons/25430.svg","25644","no"
"icons/25433.svg","25433.svg","25433","icons/25433.svg","33944","no"
"icons/25434.svg","25434.svg","25434","icons/25434.svg","27496","no"
"icons/25438.svg","25438.svg","25438","icons/25438.svg","7888","no"
"icons/25442.svg","25442.svg","25442","icons/25442.svg","8304","no"
"icons/25455.svg","25455.svg","25455","icons/25455.svg","14556","no"
"icons/25456.svg","25456.svg","25456","icons/25456.svg","13352","no"
"icons/25459.svg","25459.svg","25459","icons/25459.svg","16004","no"
"icons/25460.svg","25460.svg","25460","icons/25460.svg","15252","no"
"icons/25461.svg","25461.svg","25461","icons/25461.svg","14776","no"
"icons/25462.svg","25462.svg","25462","icons/25462.svg","14268","no"
"icons/25468.svg","25468.svg","25468","icons/25468.svg","13532","no"
"icons/25476.svg","25476.svg","25476","icons/25476.svg","7044","no"
"icons/25480.svg","25480.svg","25480","icons/25480.svg","6344","no"
"icons/25483.svg","25483.svg","25483","icons/25483.svg","1708","no"
"icons/25484.svg","25484.svg","25484","icons/25484.svg","25880","no"
"icons/25489.svg","25489.svg","25489","icons/25489.svg","9144","no"
"icons/25492.svg","25492.svg","25492","icons/25492.svg","5220","no"
"icons/25495.svg","25495.svg","25495","icons/25495.svg","25944","no"
"icons/25500.svg","25500.svg","25500","icons/25500.svg","3812","no"
"icons/25502.svg","25502.svg","25502","icons/25502.svg","17240","no"
"icons/25503.svg","25503.svg","25503","icons/25503.svg","16228","no"
"icons/25506.svg","25506.svg","25506","icons/25506.svg","17348","no"
"icons/25507.svg","25507.svg","25507","icons/25507.svg","16180","no"
"icons/25508.svg","25508.svg","25508","icons/25508.svg","15088","no"
"icons/25509.svg","25509.svg","25509","icons/25509.svg","15004","no"
"icons/25515.svg","25515.svg","25515","icons/25515.svg","15712","no"
"icons/25518.svg","25518.svg","25518","icons/25518.svg","11236","no"
"icons/25519.svg","25519.svg","25519","icons/25519.svg","10924","no"
"icons/25522.svg","25522.svg","25522","icons/25522.svg","23692","no"
"icons/25525.svg","25525.svg","25525","icons/25525.svg","15076","no"
"icons/25528.svg","25528.svg","25528","icons/25528.svg","22548","no"
"icons/25529.svg","25529.svg","25529","icons/25529.svg","19084","no"
"icons/25534.svg","25534.svg","25534","icons/25534.svg","12856","no"
"icons/25535.svg","25535.svg","25535","icons/25535.svg","12068","no"
"icons/25536.svg","25536.svg","25536","icons/25536.svg","12740","no"
"icons/25537.svg","25537.svg","25537","icons/25537.svg","12248","no"
"icons/25542.svg","25542.svg","25542","icons/25542.svg","22540","no"
"icons/25543.svg","25543.svg","25543","icons/25543.svg","20380","no"
"icons/25557.svg","25557.svg","25557","icons/25557.svg","12380","no"
"icons/25561.svg","25561.svg","25561","icons/25561.svg","11848","no"
"icons/25565.svg","25565.svg","25565","icons/25565.svg","13424","no"
"icons/25569.svg","25569.svg","25569","icons/25569.svg","18000","no"
"icons/25573.svg","25573.svg","25573","icons/25573.svg","18920","no"
"icons/25577.svg","25577.svg","25577","icons/25577.svg","11012","no"
"icons/25581.svg","25581.svg","25581","icons/25581.svg","19128","no"
"icons/25584.svg","25584.svg","25584","icons/25584.svg","15960","no"
"icons/25586.svg","25586.svg","25586","icons/25586.svg","12608","no"
"icons/25591.svg","25591.svg","25591","icons/25591.svg","11176","no"
"icons/25594.svg","25594.svg","25594","icons/25594.svg","22440","no"
"icons/25595.svg","25595.svg","25595","icons/25595.svg","19372","no"
"icons/25598.svg","25598.svg","25598","icons/25598.svg","11916","no"
"icons/25599.svg","25599.svg","25599","icons/25599.svg","9900","no"
"icons/25602.svg","25602.svg","25602","icons/25602.svg","10848","no"
"icons/25603.svg","25603.svg","25603","icons/25603.svg","6460","no"
"icons/25606.svg","25606.svg","25606","icons/25606.svg","20928","no"
"icons/25607.svg","25607.svg","25607","icons/25607.svg","17492","no"
"icons/25610.svg","25610.svg","25610","icons/25610.svg","11640","no"
"icons/25611.svg","25611.svg","25611","icons/25611.svg","10636","no"
"icons/25618.svg","25618.svg","25618","icons/25618.svg","14404","no"
"icons/25622.svg","25622.svg","25622","icons/25622.svg","21252","no"
